"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE / ZANDKOPSDRIFT COMPLEX","MELILITITE, OLIVINE [25951]",127,256,29.6,120,22.4,6.27,16.1,1.95,8.86,1.37,2.87,0.324,1.65,0.226,-30.83,17.97
"ANDEAN BASINS / ARGENTINA / SALTA RIFT","MELILITITE [11135]",113.7145,224.417,25.3931,94.8374,17.4459,4.7152,14.4478,1.719,8.5436,1.3632,3.2027,0.3648,2.1048,0.3094,-23.103,-64.779
"BALTIC SHIELD / KOLA-LAPLAND PROVINCE / KANDALAKSHA GRABEN / TURIY MASSIF","MELILITITE [25213]",108.746999703015,189.571750180806,18.9221068287945,65.4113805293436,9.53657145859016,2.4698234665246,6.79319726307992,0.815480474695333,3.87362509744324,0.716757912137174,1.72139152293698,0.211588905076768,17.2217290055661,0.195643053367253,66.5788939688354,34.4054199848324
"MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / AMBATOMASINA","MELILITITE, OLIVINE [15764]",88.8,172,19.4,61.9,11.5,3.56,8.9,1.3,6.6,1.1,2.6,0.31,1.7,0.21,-19.0368,48.9538
"NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE","MELILITITE, OLIVINE [9615]",64.4,135,16.7,65.1,12,3.47,8.93,1.18,5.79,0.94,2.12,0.27,1.47,0.19,-35.12,20.5
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","MELILITITE, OLIVINE [9727]",95.3,180,20.5,76.5,13.5,3.94,9.66,1.25,6.3,0.972,2.29,0.274,1.66,0.232,-2.735,35.915
"MATACHEWAN LARGE IGNEOUS PROVINCE / KHIBINY (KHIBINA) MASSIF","MELILITITE [17924]",251,270,28.9,173,23.3,6.2,13.8,0.9,7.85,1.18,1.64,0.29,1.66,0.18,67.715,33.725
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / EIFEL","MELILITITE [25797]",180.899372972545,326.687057915974,34.157243551705,118.73684923649,17.1354928198433,4.67601540246637,13.283533664635,1.67794306313791,8.44658635968035,1.52068226323285,3.90313392871271,0.521730012263628,3.26588151752512,0.459122410791993,50.4481,7.1366
"MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD","MELILITITE, OLIVINE [24417]",75,131,14.6,52.2,9.1,2.6,6.9,0.9,4.4,0.7,1.9,0.2,1.3,0.2,-19.2,48.8
"TUAREG SHIELD / HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","MELILITITE [20273]",90,182,20,80.4,13.3,3.96,10.6,1.26,6.34,1,2.19,0.26,1.52,0.22,26.92,9.37
"HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","MELILITITE, NEPHELINE [6287]",71.1,144,18,73.8,14.9,4.61,11.8,1.49,6.37,0.939,1.79,0.212,1.08,0.141,21.33,-157.82
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / PELLO HILL","MELILITITE, OLIVINE [16783]",90.3,168,18.3,68.5,12.1,3.1,8.5,1,5.3,0.9,2.1,0.3,1.7,0.2,-2.7608,36.0155
"NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE / ZANDKOPSDRIFT COMPLEX","MELILITITE, OLIVINE [25951]",157,311,35.1,139,25.1,7.01,17.6,2.14,9.74,1.5,3.11,0.352,1.81,0.249,-30.83,17.97
"NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE / SALPETRE KOP","MELILITITE, OLIVINE [9615]",182,301,31.3,105,15.4,4.13,10.1,1.29,6.14,0.99,2.16,0.26,1.31,0.17,-32.35,20.9
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / OLDOINYO LENGAI","MELILITITE, OLIVINE [23530]",201,377,41,146,24.1,6.58,16,1.9,9.1,1.5,3.7,0.42,2.4,0.32,-2.7514,35.9772
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF / OSECNA COMPLEX","MELILITITE, CLINOPYROXENE [11430]",133.9,220.5,25.2,87.57,12.9,3.3,9.3,1.1,5.8,0.9,2.2,0.27,1.61,0.2,50.7,14.92
"TUAREG SHIELD / HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","MELILITITE [20273]",89.5,180,19.6,80.2,13.3,4,10.7,1.26,6.25,0.97,2.12,0.25,1.48,0.21,26.92,9.37
"MADAGASCAR / MADAGASCAR / ANKARATRA VOLCANIC COMPLEX / VOTOVORONA","NEPHELINITE, OLIVINE-LEUCITE [15764] / MELILITITE [15879]",85.8,154,17.1,62.6,10.5,3.4,8.4,1.2,5.7,1,2.4,0.3,1.7,0.24,-19.41,47.2
"ANDEAN BASINS / ARGENTINA / SALTA RIFT","MELILITITE [11135]",125.4683,250.4581,28.7673,108.5577,17.9059,4.8786,13.1129,1.4821,6.6327,0.9599,2.2665,0.2375,1.2892,0.1875,-23.103,-64.779
"SIBERIAN TRAPS / YAKUTIAN KIMBERLITE FIELDS / ORION KIMBERLITE PIPE","MELILITITE [21526]",152,274,28,93,13.28,3.47,9.46,1.17,4.58,0.72,1.65,0.2,0.97,0.14,73,113
"NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE","MELILITITE, OLIVINE [9615]",146,277,32,117,18.9,5.3,12.9,1.63,7.72,1.22,2.7,0.35,1.85,0.25,-32.4,20.6
"EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / NYIRAGONGO","MELILITITE [23479]",194,359,36.5,123,17.4,4.9,10.9,1.5,7.7,1.3,3.6,0.5,2.7,0.4,-1.52,29.25
